subregion,State, Code,Deaths,Population,Crude Rate
autauga, AL,1001,74,920175,8.0419
baldwin, AL,1003,446,3104213,14.3676
barbour, AL,1005,18,499605,3.6028
bibb, AL,1007,50,397480,12.5792
blount, AL,1009,141,997776,14.1314
bullock, AL,1011,10,197584,5.0611
butler, AL,1013,23,373621,6.156
calhoun, AL,1015,208,2074478,10.0266
chambers, AL,1017,53,628932,8.427
cherokee, AL,1019,60,455087,13.1843
chilton, AL,1021,100,762939,13.1072
choctaw, AL,1023,12,258321,4.6454
clarke, AL,1025,20,472909,4.2291
clay, AL,1027,13,251003,5.1792
cleburne, AL,1029,26,263729,9.8586
coffee, AL,1031,54,857552,6.297
colbert, AL,1033,60,980863,6.1171
conecuh, AL,1035,26,240060,10.8306
coosa, AL,1037,16,204784,7.8131
covington, AL,1039,36,675450,5.3298
crenshaw, AL,1041,13,249207,5.2165
cullman, AL,1043,164,1431088,11.4598
dale, AL,1045,77,891572,8.6364
dallas, AL,1047,36,790398,4.5547
dekalb, AL,1049,158,1237877,12.7638
elmore, AL,1051,74,1354531,5.4631
escambia, AL,1053,152,683449,22.2401
etowah, AL,1055,244,1864778,13.0847
fayette, AL,1057,40,316518,12.6375
franklin, AL,1059,81,564069,14.3599
geneva, AL,1061,29,473180,6.1287
henry, AL,1067,17,304556,5.5819
houston, AL,1069,159,1750954,9.0808
jackson, AL,1071,78,959194,8.1318
jefferson, AL,1073,1993,11854635,16.812
lamar, AL,1075,19,266678,7.1247
lauderdale, AL,1077,139,1632135,8.5165
lawrence, AL,1079,70,614698,11.3877
lee, AL,1081,135,2418094,5.5829
limestone, AL,1083,104,1404371,7.4055
macon, AL,1087,16,391167,4.0903
madison, AL,1089,421,5712479,7.3698
marengo, AL,1091,13,382442,3.3992
marion, AL,1093,26,551156,4.7174
marshall, AL,1095,171,1608450,10.6314
mobile, AL,1097,899,7321586,12.2788
monroe, AL,1099,30,417677,7.1826
montgomery, AL,1101,224,4070088,5.5036
morgan, AL,1103,269,2091395,12.8622
pickens, AL,1107,31,364128,8.5135
pike, AL,1109,32,569863,5.6154
randolph, AL,1111,34,407079,8.3522
russell, AL,1113,99,954636,10.3704
st. clair, AL,1115,228,1394254,16.3528
shelby, AL,1117,440,3251987,13.5302
talladega, AL,1121,121,1464637,8.2614
